"";"document";"topic";"gamma"
"1";"167520";1;0,29438717067583
"2";"165508";1;0,275555555555556
"3";"79337";1;0,254789272030651
"4";"165979";1;0,253150057273769
"5";"79195";1;0,241414141414141
"6";"129457";2;0,253433208489388
"7";"129223";2;0,234953703703704
"8";"166074";2;0,232323232323232
"9";"68194";2;0,230961298377029
"10";"130151";2;0,226900584795322
"11";"79146";3;0,275555555555556
"12";"165378";3;0,269392033542977
"13";"166568";3;0,265555555555556
"14";"67625";3;0,250524109014675
"15";"211189";3;0,247765006385696
"16";"167280";4;0,282505910165485
"17";"211158";4;0,250591016548463
"18";"68172";4;0,218300653594771
"19";"163112";4;0,213421342134213
"20";"67681";4;0,209277238403452
"21";"163066";5;0,250544662309368
"22";"166332";5;0,233862433862434
"23";"67869";5;0,230936819172113
"24";"167688";5;0,229491173416407
"25";"166783";5;0,227994227994228
"26";"67857";6;0,285565939771547
"27";"67865";6;0,258136924803591
"28";"129586";6;0,248035914702581
"29";"68168";6;0,248035914702581
"30";"79233";6;0,239018087855297
"31";"211200";7;0,248248248248248
"32";"79404";7;0,244949494949495
"33";"166368";7;0,232323232323232
"34";"142609";7;0,23023023023023
"35";"68245";7;0,226495726495727
"36";"166071";8;0,27046783625731
"37";"68074";8;0,233585858585859
"38";"129525";8;0,229314420803783
"39";"130016";8;0,218300653594771
"40";"67674";8;0,204389574759945
"41";"68360";9;0,257309941520468
"42";"129134";9;0,243124312431243
"43";"129116";9;0,240740740740741
"44";"68104";9;0,233223322332233
"45";"131110";9;0,230994152046784
